Français,Japonais,Romaji,Kana,Origine,Leçons,Type,Theme,Image,Sound
souci,しんぱい,shinpai,HIRAGANA,,11,nom,,,
profession,しょくぎょう,shokugyô,HIRAGANA,,11,nom,,,
employé de bureau,かいしゃいん,kaisha-in,HIRAGANA,,11,nom,,,
salarié,サラリーマン,sararîman,KATAKANA,Anglais : salaryman,11,nom,,,
fonctionnaire,こうむいん,kômu-in,HIRAGANA,,11,nom,,,
employé de banque,ぎんこういん,ginkô-in,HIRAGANA,,11,nom,,,
employé de gare,えきいん,eki-in,HIRAGANA,,11,nom,,,
postier,ゆうびんきょく-いん,yûbinkyoku-in,HIRAGANA,,11,nom,,,
vendeur,てん-いん,ten-in,HIRAGANA,,11,nom,,,
"boulanger, boulangerie",パンや,pan-ya,KATA-HIRA,Anglais : pan,11,nom,,,
"boucher, boucherie",にくや,niku-ya,HIRAGANA,,11,nom,,,
coiffeur,"とこや, びようし","tokoya, biyôshi",HIRAGANA,,11,nom,,,
infirmière,かんごふ,kangofu,HIRAGANA,,11,nom,,,
infirmier,かんごし,kangoshi,HIRAGANA,,11,nom,,,
enseignant,きょうし,kyôshi,HIRAGANA,,11,nom,,,
ingénieur,エンジニア,enjinia,KATAKANA,Anglais : engineer,11,nom,,,
secrétaire,ひしょ,hisho,HIRAGANA,,11,nom,,,
avocat,べんごし,bengoshi,HIRAGANA,,11,nom,,,
jupe,スカート,sukâto,KATAKANA,Anglais : skirt,12,nom,,,
pull-over,セーター,sêtâ,KATAKANA,Anglais : sweater,12,nom,,,
revue,ざっし,zasshi,HIRAGANA,,12,nom,,,
bicyclette,じてんしゃ,jitensha,HIRAGANA,,12,nom,,,
cravate,ネクタイ,nekutai,KATAKANA,Anglais : neck-tie,12,nom,,,
gant,てぶくろ,tebukuro,HIRAGANA,,12,nom,,,
photo,しゃしん,shashin,HIRAGANA,,12,nom,,,
parfum,こうすい,kôsui,HIRAGANA,,12,nom,,,
"alors, dans ce cas",じゃ,ja,HIRAGANA,,12,,,,
qui,だれ,dare,HIRAGANA,,12,,,,
sûrement,きっと,kitto,HIRAGANA,,12,,,,
il est possible que ...,かも しれません,kamo shiremasen,HIRAGANA,,12,,,,
client,きゃく,kyaku,HIRAGANA,,12,nom,,,
